"world_rank","teaching","international","research","citations","income","total_score","num_students","student_staff_ratio","international_students","female_male_ratio","id"
76,48.4,51.8,60.4,82.1,31.6,61.9,23505,15.1,0.06,1.94,77
78,47,58.2,59.8,79.3,59.2,61.7,28327,38.9,0.12,1.38,78
79,50.6,33.9,50.3,92.3,39.3,61.5,26485,5.8,0.1,1.04,79
80,47.4,90.3,53.1,78.2,37.7,61.3,18529,16.6,0.37,0.92,80
81,44.1,59.6,61,80.9,39.5,61.2,25266,18.2,0.12,1.33,81
82,49.8,83.3,42.7,86.2,45,61,27545,4.1,0.19,2.03,82
82,40.7,89.5,53.9,82.1,50,61,38309,25.9,0.33,0.89,83
84,47.4,60.3,51.1,80.5,100,60.7,26467,31.2,0.16,1.08,84
85,66.5,30.9,70.5,50,85.4,60.5,26389,13.9,0.1,1.07,85
86,49.7,92.3,47.3,78.8,30.6,60.4,8338,12.7,0.47,1.27,86
87,47.8,29.1,44.2,95.7,63.2,60.1,12161,3.6,0.1,1.08,87
88,70.6,26.1,69.3,46.6,79,59.9,22809,5.6,0.07,1.07,88
88,37.5,95.5,47.7,82.7,95.4,59.9,15626,18.9,0.48,1.27,89
90,48.3,51,37.1,96.7,48.9,59.7,12338,4.5,0.18,1.27,90
90,39.7,74.1,53.6,81.3,70.4,59.7,28251,11.5,0.15,1.07,91
90,51.6,53,46.6,83.2,53.1,59.7,51462,13.4,0.12,0.96,92
93,39.4,87.3,40,94.3,31.9,59.5,17755,18.8,0.28,1.17,93
94,45.1,63.6,47.5,85.3,48.9,58.8,32474,70.4,0.13,1.22,94
94,54.4,52.7,39.3,82.5,80.7,58.8,15408,8.5,0.14,1.13,95
94,39.8,76.1,44.8,84.9,88,58.8,23823,19.3,0.15,1.13,96
97,42.4,81.9,48.8,80.1,43.4,58.6,23311,15.5,0.31,1,97
98,34.1,93.5,41.3,93.3,36.8,58.5,14260,14,0.4,1.08,98
99,49.3,56.4,54.5,72.7,31.8,58,25581,25.6,0.12,1.04,99
99,47.3,56.4,52.6,76.8,32.2,58,44750,15.7,0.15,1.04,100
101,39.5,94.7,33.1,88.3,99.9,57.9,12551,17.3,0.24,1.17,101
101,53.5,92.8,44.6,64.7,82.3,57.9,2429,4.8,0.3,0.22,102
101,37.9,66.6,35.1,99.7,41.7,57.9,6333,9,0.26,0.79,103
104,50.7,38.3,35.8,93.3,40.8,57.8,6178,6.6,0.16,0.89,104
104,49.5,90.4,31.5,85.4,44,57.8,26583,6.5,0.19,1.33,105
106,36.9,76.8,50.7,79.8,68.3,57.7,23895,13.6,0.14,1.17,106
106,39.9,59.2,41.8,91.6,48.9,57.7,26614,16.1,0.16,1.08,107
106,34.5,64.6,47.7,86.9,85.3,57.7,11761,85.8,0.15,1.22,108
108,47.6,47.6,48.1,81.7,33.7,57.6,11829,13.8,0.1,0.79,109
109,33.4,92.6,46.1,83.6,64.5,57.5,20851,20.7,0.27,1,110
110,49.4,54.1,56.3,63.2,98.1,57.2,37917,27.6,0.16,0.45,111
110,39.8,88.4,43.6,82,37.5,57.2,20925,13.5,0.29,1.13,112
112,54.2,46.3,53.1,67.2,52,57.1,462,16.5,0.05,0.39,113
113,46.3,84.2,45.5,69.6,92.6,57,38264,20.3,0.25,1.33,114
113,52.8,74.1,32.7,82.9,37.4,57,27862,8.7,0.18,0.92,115
113,50.2,66.4,57.7,63.2,48.9,57,39256,18.1,0.22,0.72,116
116,49.1,33.7,47.1,76.7,100,56.9,3055,10.1,0.04,0.25,117
117,45,43.5,42.1,88.2,32.3,56.7,31331,8.4,0.09,0.92,118
118,42.1,54.2,54.5,71.2,88.3,56.6,32166,34.1,0.09,1.33,119
119,39.4,82,41.8,82.7,34.7,56.2,25295,16.4,0.23,1.17,120
120,40,83.7,42.5,76.6,82.9,56.1,14708,22.5,0.14,1.17,121
120,34.9,80.2,38.7,85.6,92.7,56.1,20040,12.1,0.18,1.13,122
120,51.8,33.3,56.8,67.7,48.9,56.1,50095,18.7,0.09,1.17,123
123,51.7,47,39.7,75.2,99.4,56,36146,53.9,0.09,0.96,124
123,43.9,34.7,55.7,75.4,35.9,56,37032,17.3,0.08,1.04,125
125,40.3,46.3,44.1,85.6,58.2,55.9,39838,46.1,0.08,1.13,126
125,34.3,60.9,48.5,84.9,39.2,55.9,17713,13,0.1,1.38,127
127,39.7,36.6,37.6,96.4,35.7,55.8,29325,16.1,0.08,0.82,128
127,45.2,49.4,33.3,90.1,60.7,55.8,10410,10,0.14,1.17,129
129,35.1,92.7,33.2,91.2,34.4,55.7,8747,15.9,0.37,1.33,130
130,34,87,41.4,85.3,33.6,55.6,11512,14.9,0.33,1.08,131
131,34.9,98.5,40.5,78.5,72.4,55.4,15668,15,0.39,1.56,132
131,41.9,83.5,46.3,73.1,31.1,55.4,23044,14.95,0.18,1.07,133
133,46.1,40.5,33.2,92,34.1,55.3,9259,6.4,0.17,0.92,134
133,43.7,77.4,39,79.2,36.7,55.3,27703,14.7,0.21,1.38,135
135,43.3,68.2,44.7,75.5,38.3,55.1,27139,18.8,0.18,1.07,136
136,34.1,48.5,51.2,82.5,31.1,54.8,31715,23.7,0.08,1.63,137
137,46.4,80.7,48.1,63.6,47.4,54.7,36299,21.6,0.23,1.22,138
